"","location_id","work_type","high_inter","hrs_inter"
"84",390,"law",0,24
"85",657,"law",0,24
"86",723,"law",0,24
"87",777,"law",0,24
"88",112,"service",0,14
"89",954,"service",0,14
"90",709,"technology",1,14
"91",92,"technology",1,14
"92",999,"hospital",0,14
"93",273,"hospital",0,14
"94",242,"hospital",0,14
"95",233,"consultency",1,6
"96",887,"consultency",1,6
"97",904,"consultency",1,6
"98",559,"consultency",1,6
"99",957,"consultency",1,6
"100",772,"consultency",1,6
"101",923,"consultency",1,6
"102",546,"consultency",1,6
"103",890,"consultency",1,6
"104",802,"consultency",1,6
"105",138,"technology",1,15
"106",580,"technology",1,15
"107",655,"technology",1,15
"108",102,"technology",1,15
"109",158,"technology",1,15
"110",451,"technology",1,15
"111",444,"technology",1,15
"112",620,"technology",1,15
"113",225,"technology",1,15
"114",783,"consultency",0,22
"115",351,"consultency",0,22
"116",776,"consultency",0,22
"117",648,"consultency",0,22
"118",542,"consultency",0,22
"119",970,"consultency",0,22
"120",842,"law",0,14
"121",99,"law",0,14
"122",282,"law",0,14
"123",151,"law",0,14
"124",892,"law",0,14
"125",751,"law",0,14
"126",5,"law",0,14
"127",425,"law",0,14
"128",431,"law",0,14
"129",443,"consultency",1,20
"130",41,"consultency",1,20
"131",784,"technology",1,6
"132",19,"technology",1,6
"133",15,"technology",1,6
"134",859,"labor",1,7
"135",330,"labor",1,7
"136",318,"labor",1,7
"137",850,"labor",1,7
"138",663,"labor",1,7
"139",643,"labor",1,7
"140",737,"labor",1,7
"141",735,"construction",0,16
"142",321,"construction",0,16
"143",257,"university",0,14
"144",754,"university",0,14
"145",719,"university",0,14
"146",117,"university",0,14
"147",318,"university",0,14
"148",136,"university",0,14
"149",598,"university",0,14
"150",535,"finance",1,12
"151",206,"finance",1,12
"152",971,"finance",1,12
"153",308,"consultency",1,2
"154",348,"consultency",1,5
"155",423,"consultency",1,5
"156",163,"consultency",1,5
"157",270,"consultency",1,5
"158",396,"consultency",1,5
"159",835,"consultency",1,5
"160",696,"consultency",1,5
"161",994,"consultency",1,5
"162",912,"consultency",0,10
"163",37,"consultency",0,10
"164",644,"consultency",0,10
"165",36,"consultency",0,10
"166",435,"consultency",0,10
"167",771,"consultency",0,10
"168",951,"consultency",0,10
"169",56,"consultency",0,10
"170",424,"consultency",0,10
"171",369,"consultency",0,10
"172",858,"service",1,9
"173",198,"consultency",0,22
"174",288,"consultency",0,22
"175",147,"technology",1,18
"176",219,"technology",1,18
"177",841,"technology",1,18
"178",877,"technology",1,18
"179",575,"technology",1,18
"180",349,"technology",1,18
"181",59,"technology",1,18
"182",453,"technology",1,18
"183",163,"technology",1,18
"184",617,"technology",1,18
"185",358,"finance",1,9
"186",712,"finance",1,9
"187",298,"finance",1,9
"188",902,"finance",1,9
"189",395,"finance",1,9
"190",952,"finance",1,9
"191",865,"finance",1,9
"192",578,"finance",1,9
"193",97,"finance",1,9
"194",289,"finance",1,9
"195",55,"construction",1,10
"196",643,"construction",1,10
"197",35,"construction",1,10
"198",709,"technology",0,18
"199",308,"technology",0,18
"200",670,"technology",0,18
"201",893,"technology",0,18
"202",786,"technology",0,18
"203",190,"law",1,19
"204",931,"law",1,19
"205",73,"law",1,19
"206",542,"university",1,12
"207",134,"university",1,12
"208",942,"university",1,12
"209",56,"university",1,12
"210",668,"university",1,12
"211",901,"university",1,12
"212",140,"university",1,12
"213",874,"university",1,12
"214",31,"university",1,12
"215",875,"university",1,12
"216",840,"construction",1,15
"217",208,"construction",1,15
"218",707,"construction",1,15
"219",922,"construction",1,15
"220",721,"construction",1,15
"221",43,"construction",1,15
"222",925,"construction",1,15
"223",33,"construction",1,15
"224",580,"construction",1,15
"225",247,"construction",1,15
"226",504,"law",1,8
"227",259,"law",1,8
"228",777,"law",1,8
"229",740,"law",1,8
"230",169,"construction",0,4
"231",328,"construction",0,4
"232",437,"construction",0,4
"233",883,"construction",0,4
"234",879,"consultency",0,14
"235",627,"consultency",0,14
"236",532,"consultency",0,14
"237",463,"consultency",0,14
"238",12,"consultency",0,14
"239",869,"consultency",0,14
"240",171,"consultency",1,22
"241",255,"consultency",1,22
"242",582,"consultency",1,22
"243",224,"consultency",1,22
"244",674,"consultency",1,22
"245",205,"consultency",1,22
"246",264,"consultency",1,22
"247",724,"technology",1,17
"248",862,"technology",1,17
"249",635,"technology",1,17
"250",690,"technology",1,17
"251",952,"technology",1,17
"252",436,"technology",1,17
"253",226,"technology",1,17
"254",362,"technology",1,17
"255",329,"technology",1,17
"256",471,"university",1,12
"257",753,"hospital",1,16
"258",645,"hospital",1,16
"259",86,"hospital",1,16
"260",542,"consultency",1,2
"261",898,"consultency",1,2
"262",827,"consultency",1,2
"263",271,"consultency",1,2
"264",100,"consultency",1,2
"265",988,"consultency",1,2
"266",323,"consultency",1,2
"267",366,"consultency",1,2
"268",522,"university",1,15
"269",451,"university",1,15
"270",672,"university",1,15
"271",868,"university",1,15
"272",801,"university",1,15
"273",31,"university",1,15
"274",168,"university",1,15
"275",781,"university",1,15
"276",878,"university",1,15
"277",131,"university",1,15
"278",751,"finance",0,3
"279",761,"finance",0,3
"280",958,"finance",0,3
"281",514,"finance",0,3
"282",874,"finance",0,3
"283",356,"finance",0,3
"284",646,"finance",0,3
"285",497,"finance",0,3
"286",243,"finance",0,15
"287",129,"finance",0,15
"288",975,"finance",0,15
"289",739,"finance",0,15
"290",599,"finance",0,15
"291",451,"hospital",0,10
"292",24,"hospital",0,10
"293",269,"hospital",0,10
"294",360,"hospital",0,10
"295",435,"hospital",1,5
"296",410,"hospital",1,5
"297",458,"hospital",1,5
"298",204,"hospital",1,5
"299",94,"hospital",1,5
"300",149,"homemaker",0,4
"301",796,"homemaker",0,4
"302",614,"homemaker",0,4
"303",489,"homemaker",0,4
"304",493,"homemaker",0,4
"305",759,"homemaker",0,4
"306",306,"homemaker",0,4
"307",604,"homemaker",0,4
"308",619,"law",1,13
"309",633,"law",1,13
"310",850,"law",1,13
"311",18,"law",1,13
"312",491,"homemaker",1,18
"313",305,"homemaker",1,18
"314",534,"homemaker",1,18
"315",652,"homemaker",1,18
"316",516,"homemaker",1,18
"317",930,"homemaker",1,18
"318",982,"finance",1,13
"319",225,"finance",1,13
"320",69,"technology",0,12
"321",532,"technology",0,12
"322",221,"technology",0,12
"323",248,"technology",0,12
"324",301,"technology",0,12
"325",442,"technology",0,12
"326",301,"technology",0,12
"327",520,"technology",0,12
"328",937,"technology",0,12
"329",895,"finance",0,2
"330",328,"finance",0,2
"331",448,"finance",0,2
"332",173,"finance",0,2
"333",571,"finance",0,2
"334",460,"finance",0,2
"335",109,"homemaker",1,2
"336",414,"homemaker",1,2
"337",516,"homemaker",1,2
"338",79,"homemaker",1,2
"339",660,"homemaker",1,2
"340",227,"homemaker",1,2
"341",678,"homemaker",1,2
"342",920,"homemaker",1,2
"343",454,"homemaker",1,2
"344",548,"homemaker",1,2
"345",629,"university",1,1
"346",958,"university",1,1
"347",993,"university",1,1
"348",45,"university",1,1
"349",723,"university",1,1
"350",496,"university",1,1
"351",936,"university",1,1
"352",133,"university",1,1
"353",86,"university",1,1
"354",761,"university",1,1
"355",748,"finance",1,22
"356",639,"finance",1,22
"357",55,"finance",1,22
"358",94,"finance",1,22
"359",200,"finance",1,22
"360",978,"service",0,7
"361",810,"service",0,7
"362",847,"service",0,7
"363",412,"service",0,7
"364",879,"service",0,7
"365",591,"service",0,7
"366",469,"service",0,7
"367",753,"service",0,7
"368",385,"homemaker",1,5
"369",904,"homemaker",1,5
"370",482,"homemaker",1,5
"371",525,"homemaker",1,5
"372",654,"homemaker",1,5
"373",102,"homemaker",1,5
"374",546,"homemaker",1,5
"375",767,"homemaker",1,5
"376",933,"homemaker",1,5
"377",84,"finance",0,24
"378",317,"finance",0,24
"379",63,"finance",0,24
"380",604,"finance",0,24
"381",598,"finance",0,24
"382",39,"hospital",1,15
"383",643,"hospital",1,15
"384",193,"hospital",1,15
"385",23,"hospital",1,15
"386",516,"hospital",1,15
"387",566,"hospital",1,15
"388",469,"labor",0,7
"389",173,"labor",0,7
"390",45,"labor",0,7
"391",884,"labor",0,7
"392",33,"labor",0,7
"393",969,"labor",0,7
"394",205,"labor",0,7
"395",622,"labor",0,7
"396",756,"service",0,16
"397",825,"service",0,16
"398",816,"service",0,16
"399",963,"service",0,16
"400",35,"service",0,16
"401",746,"service",0,16
"402",312,"service",0,16
"403",638,"service",0,16
"404",283,"university",1,6
"405",96,"university",1,6
"406",173,"university",1,6
"407",728,"university",1,6
"408",221,"university",1,6
"409",259,"law",1,6
"410",595,"law",1,6
"411",437,"law",1,6
"412",473,"technology",0,5
"413",857,"technology",0,5
"414",474,"technology",0,5
"415",523,"technology",0,5
"416",684,"technology",0,5
"417",838,"technology",0,5
"418",796,"technology",0,5
"419",930,"technology",0,5
"420",876,"university",1,14
"421",676,"construction",0,14
"422",940,"construction",0,16
"423",437,"construction",0,16
"424",863,"construction",0,16
"425",541,"construction",0,16
"426",611,"construction",0,16
"427",471,"construction",0,16
"428",624,"construction",0,16
"429",674,"technology",1,13
"430",634,"technology",1,13
"431",105,"labor",1,21
"432",246,"labor",1,21
"433",798,"construction",0,15
"434",508,"construction",0,15
"435",407,"construction",0,15
"436",203,"construction",0,15
"437",248,"construction",0,15
"438",710,"construction",0,15
"439",310,"construction",0,15
"440",838,"construction",0,15
"441",322,"technology",1,19
"442",845,"technology",1,19
"443",31,"technology",1,19
"444",189,"technology",1,19
"445",37,"technology",1,19
"446",543,"law",1,16
"447",615,"law",1,16
"448",280,"law",1,16
"449",221,"law",1,16
"450",463,"law",1,16
"451",645,"law",1,16
"452",882,"law",1,16
"453",942,"law",1,16
"454",590,"law",1,16
"455",204,"law",1,16
"456",924,"university",1,9
"457",902,"university",1,9
"458",456,"university",1,9
"459",959,"technology",0,5
"460",51,"technology",0,5
"461",65,"technology",0,5
"462",176,"technology",0,5
"463",935,"homemaker",0,22
"464",853,"homemaker",0,22
"465",882,"homemaker",0,22
"466",992,"homemaker",0,22
"467",75,"homemaker",0,22
"468",411,"homemaker",0,22
"469",621,"homemaker",0,22
"470",45,"homemaker",0,22
"471",910,"labor",1,8
"472",970,"labor",1,17
"473",400,"labor",1,17
"474",275,"labor",1,17
"475",84,"labor",1,17
"476",711,"labor",1,17
"477",460,"law",0,3
"478",732,"service",0,5
"479",438,"construction",0,9
"480",528,"construction",0,9
"481",252,"construction",0,9
"482",465,"construction",0,9
"483",825,"construction",0,9
"484",282,"construction",0,9
"485",163,"construction",0,9
"486",355,"construction",0,9
"487",176,"law",1,11
"488",329,"law",1,11
"489",159,"law",1,11
"490",67,"law",1,11
"491",880,"law",1,11
"492",200,"law",1,11
"493",390,"law",1,11
"494",581,"law",1,11
"495",269,"labor",0,17
"496",155,"labor",0,17
"497",376,"labor",0,17
"498",365,"labor",0,17
"499",57,"labor",0,17
"500",629,"labor",0,17
"501",248,"labor",0,17
"502",280,"labor",0,17
"503",958,"finance",0,21
"504",819,"finance",0,21
"505",478,"finance",0,21
"506",894,"finance",0,21
"507",203,"finance",0,21
"508",230,"finance",0,21
"509",158,"technology",0,21
"510",291,"technology",0,21
"511",281,"technology",0,21
"512",867,"technology",0,21
"513",721,"technology",0,21
"514",307,"university",0,2
"515",974,"university",0,2
"516",216,"university",0,2
"517",715,"university",0,2
"518",987,"law",1,10
"519",134,"law",1,10
"520",975,"labor",1,24
"521",17,"labor",1,24
"522",75,"labor",1,15
"523",960,"labor",1,15
"524",100,"construction",0,21
"525",999,"construction",0,21
"526",115,"construction",0,21
"527",841,"construction",0,21
"528",227,"construction",0,21
"529",715,"construction",0,21
"530",415,"construction",0,21
"531",718,"labor",0,7
"532",818,"labor",0,7
"533",290,"homemaker",1,14
"534",365,"homemaker",1,14
"535",982,"homemaker",1,14
"536",105,"homemaker",1,14
"537",631,"homemaker",1,14
"538",767,"homemaker",1,14
"539",806,"homemaker",1,14
"540",164,"homemaker",1,14
"541",966,"homemaker",1,14
"542",59,"homemaker",1,14
"543",203,"homemaker",0,14
"544",694,"homemaker",0,14
"545",974,"homemaker",0,14
"546",840,"homemaker",0,14
"547",429,"labor",1,18
"548",344,"labor",1,18
"549",281,"labor",1,18
"550",979,"labor",1,10
"551",294,"labor",1,10
"552",428,"labor",1,10
"553",775,"labor",1,10
"554",976,"labor",1,10
"555",394,"construction",0,8
"556",163,"construction",0,8
"557",126,"construction",0,8
"558",860,"construction",0,8
"559",213,"finance",1,5
"560",885,"finance",1,5
"561",958,"finance",1,5
"562",23,"finance",1,5
"563",99,"finance",1,5
"564",41,"finance",1,5
"565",50,"finance",1,5
"566",972,"homemaker",1,22
"567",60,"homemaker",1,22
"568",844,"homemaker",1,22
"569",217,"homemaker",1,22
"570",534,"homemaker",1,22
"571",125,"homemaker",1,22
"572",291,"consultency",1,24
"573",947,"consultency",1,24
"574",823,"consultency",1,24
"575",848,"consultency",1,24
"576",468,"consultency",1,24
"577",542,"consultency",1,24
"578",209,"consultency",1,24
"579",5,"consultency",1,24
"580",808,"consultency",1,24
"581",829,"hospital",0,1
"582",346,"hospital",0,1
"583",733,"homemaker",0,4
"584",538,"homemaker",0,4
"585",345,"homemaker",0,4
"586",671,"homemaker",0,4
"587",269,"homemaker",0,4
"588",826,"homemaker",0,4
"589",489,"homemaker",0,4
"590",242,"homemaker",0,4
"591",388,"homemaker",0,4
"592",731,"homemaker",0,4
"593",98,"university",0,2
"594",374,"university",0,2
"595",677,"university",0,2
"596",489,"law",0,22
"597",642,"law",0,22
"598",578,"law",0,22
"599",404,"law",0,22
"600",70,"law",0,22
"601",533,"law",0,22
"602",737,"technology",1,10
"603",431,"technology",1,10
"604",534,"technology",1,10
"605",911,"technology",1,10
"606",668,"finance",0,21
"607",327,"finance",0,21
"608",356,"finance",0,21
"609",898,"finance",0,21
"610",849,"finance",0,21
"611",652,"finance",0,21
"612",691,"finance",0,21
"613",569,"finance",0,21
"614",647,"finance",0,21
"615",699,"law",0,13
"616",327,"law",0,13
"617",186,"law",0,13
"618",56,"law",0,13
"619",630,"law",0,13
"620",292,"hospital",0,16
"621",922,"hospital",0,16
"622",526,"hospital",0,16
"623",757,"hospital",0,16
"624",896,"hospital",0,16
"625",938,"consultency",1,11
"626",954,"labor",1,15
"627",863,"labor",1,15
"628",412,"labor",1,15
"629",154,"homemaker",0,19
"630",740,"homemaker",0,19
"631",528,"homemaker",0,19
"632",674,"homemaker",0,19
"633",97,"homemaker",0,19
"634",588,"homemaker",0,19
"635",933,"labor",0,20
"636",641,"labor",0,20
"637",675,"labor",0,20
"638",882,"labor",0,20
"639",661,"labor",0,20
"640",505,"labor",0,20
"641",375,"labor",0,20
"642",78,"consultency",0,8
"643",902,"consultency",0,8
"644",27,"consultency",0,8
"645",35,"consultency",0,8
"646",519,"consultency",0,8
"647",949,"consultency",0,8
"648",481,"consultency",0,8
"649",818,"consultency",0,8
"650",882,"finance",1,24
"651",881,"finance",1,24
"652",927,"finance",1,24
"653",103,"finance",1,24
"654",595,"finance",1,4
"655",599,"finance",1,4
"656",772,"finance",1,4
"657",242,"finance",1,4
"658",512,"finance",1,4
"659",920,"finance",1,4
"660",659,"finance",1,4
"661",789,"finance",1,4
"662",380,"hospital",0,18
"663",249,"hospital",0,18
"664",237,"hospital",0,18
"665",667,"hospital",0,18
"666",854,"hospital",0,18
"667",60,"hospital",0,18
"668",567,"technology",0,16
"669",744,"technology",0,16
"670",820,"technology",0,16
"671",244,"technology",0,16
"672",484,"technology",0,16
"673",88,"technology",0,16
"674",50,"hospital",1,19
"675",324,"consultency",0,9
"676",4,"consultency",0,9
"677",92,"consultency",0,9
"678",19,"consultency",0,9
"679",110,"university",1,15
"680",151,"university",1,15
"681",801,"university",1,15
"682",583,"consultency",0,6
"683",891,"consultency",0,6
"684",954,"consultency",0,6
"685",597,"consultency",0,6
"686",591,"consultency",0,6
"687",142,"consultency",0,6
"688",598,"university",0,15
"689",870,"university",0,15
"690",874,"university",0,15
"691",637,"university",0,15
"692",580,"university",0,15
"693",793,"law",0,6
"694",255,"law",0,6
"695",651,"law",0,6
"696",696,"law",0,6
"697",179,"law",0,6
"698",177,"law",0,14
"699",650,"law",0,14
"700",822,"law",0,14
"701",497,"law",0,14
"702",857,"law",0,14
"703",503,"law",0,14
"704",60,"law",0,14
"705",521,"law",0,14
"706",580,"law",0,14
"707",396,"law",0,14
"708",935,"finance",1,4
"709",667,"finance",1,4
"710",632,"finance",1,4
"711",64,"finance",1,4
"712",594,"finance",1,4
"713",404,"finance",1,4
"714",436,"finance",1,4
"715",815,"finance",1,4
"716",338,"finance",1,4
"717",858,"finance",1,4
"718",771,"technology",0,21
"719",100,"technology",0,21
"720",822,"technology",0,21
"721",369,"technology",0,21
"722",650,"technology",0,21
"723",887,"finance",0,11
"724",986,"finance",0,11
"725",51,"finance",0,11
"726",245,"finance",0,11
"727",746,"consultency",0,21
"728",771,"consultency",0,21
"729",398,"consultency",0,21
"730",848,"consultency",0,21
"731",34,"consultency",0,21
"732",742,"consultency",1,24
"733",937,"consultency",1,24
"734",36,"consultency",1,24
"735",496,"consultency",1,24
"736",958,"consultency",1,24
"737",297,"labor",0,18
"738",362,"labor",0,18
"739",743,"labor",0,18
"740",951,"labor",0,18
"741",236,"labor",0,18
"742",588,"labor",0,18
"743",835,"labor",0,18
"744",195,"technology",0,12
"745",173,"technology",0,12
"746",791,"technology",0,7
"747",588,"technology",0,7
"748",357,"technology",0,7
"749",703,"technology",0,7
"750",763,"technology",0,7
"751",570,"technology",0,7
"752",573,"technology",0,7
"753",447,"law",1,9
"754",425,"law",1,9
"755",520,"hospital",1,13
"756",476,"hospital",1,13
"757",637,"hospital",1,13
"758",838,"hospital",1,13
"759",905,"consultency",1,24
"760",63,"consultency",1,24
"761",967,"consultency",1,24
"762",859,"service",1,14
"763",769,"service",1,14
"764",749,"service",1,14
"765",104,"service",1,14
"766",810,"service",1,14
"767",822,"service",1,14
"768",142,"service",1,14
"769",879,"homemaker",0,21
"770",61,"law",0,17
"771",702,"law",0,17
"772",565,"law",0,17
"773",827,"law",0,17
"774",711,"law",0,17
"775",34,"law",0,17
"776",613,"law",0,17
"777",511,"consultency",1,23
"778",938,"consultency",1,23
"779",357,"consultency",1,23
"780",774,"consultency",1,23
"781",826,"consultency",1,23
"782",987,"consultency",1,23
"783",275,"consultency",1,23
"784",387,"consultency",1,23
"785",394,"construction",0,16
"786",177,"construction",0,16
"787",471,"hospital",1,11
"788",464,"hospital",1,11
"789",912,"hospital",1,11
"790",337,"hospital",1,11
"791",993,"hospital",1,11
"792",916,"hospital",1,11
"793",328,"hospital",1,11
"794",494,"hospital",1,11
"795",492,"finance",1,3
"796",605,"finance",1,3
"797",189,"finance",1,3
"798",506,"finance",1,3
"799",508,"finance",1,3
"800",338,"finance",1,3
"801",328,"finance",1,3
"802",393,"finance",1,3
"803",714,"consultency",0,18
"804",581,"consultency",0,18
"805",333,"consultency",0,18
"806",156,"consultency",0,18
"807",592,"consultency",0,18
"808",586,"consultency",0,18
"809",359,"consultency",0,21
"810",927,"consultency",0,21
"811",818,"consultency",0,21
"812",762,"homemaker",1,7
"813",172,"homemaker",1,7
"814",671,"homemaker",1,7
"815",926,"homemaker",1,7
"816",977,"homemaker",1,7
"817",356,"homemaker",1,7
"818",845,"finance",1,15
"819",306,"finance",1,15
"820",622,"finance",1,15
"821",86,"finance",1,15
"822",129,"finance",1,15
"823",74,"finance",1,15
"824",430,"finance",1,15
"825",412,"hospital",1,15
"826",583,"hospital",1,15
"827",537,"hospital",1,15
"828",275,"hospital",1,15
"829",563,"hospital",1,15
"830",522,"hospital",1,15
"831",342,"labor",1,1
"832",486,"labor",1,1
"833",528,"labor",1,1
"834",900,"labor",1,1
"835",163,"labor",1,1
"836",975,"labor",1,1
"837",192,"labor",1,1
"838",166,"labor",1,1
"839",860,"finance",1,13
"840",763,"finance",1,13
"841",343,"finance",1,13
"842",849,"finance",1,13
"843",896,"finance",1,13
"844",457,"finance",1,13
"845",640,"finance",1,13
"846",153,"finance",1,13
"847",779,"finance",1,13
"848",281,"finance",1,13
"849",492,"labor",1,5
"850",171,"technology",0,2
"851",465,"technology",0,2
"852",172,"technology",0,2
"853",900,"technology",0,2
"854",19,"service",0,19
"855",894,"service",0,19
"856",801,"service",0,19
"857",678,"construction",0,24
"858",492,"construction",0,24
"859",890,"construction",0,24
"860",26,"construction",0,24
"861",107,"construction",0,24
"862",894,"construction",0,24
"863",497,"construction",0,24
"864",626,"construction",0,24
"865",1000,"construction",0,24
"866",595,"construction",0,17
"867",483,"construction",0,17
"868",135,"construction",0,17
"869",880,"law",1,11
"870",412,"law",1,11
"871",381,"law",1,11
"872",203,"technology",0,24
"873",24,"technology",0,24
"874",44,"technology",0,24
"875",174,"technology",0,24
"876",386,"technology",0,24
"877",100,"university",1,6
"878",27,"university",1,14
"879",696,"university",1,14
"880",341,"university",1,14
"881",567,"university",1,14
"882",39,"university",1,14
"883",550,"university",1,14
"884",250,"university",1,14
"885",142,"university",1,14
"886",367,"university",1,14
"887",817,"university",1,14
"888",205,"service",0,23
"889",156,"service",0,23
"890",534,"consultency",1,14
"891",703,"consultency",1,14
"892",581,"consultency",1,14
"893",18,"consultency",1,14
"894",89,"law",1,19
"895",599,"law",1,19
"896",198,"law",1,19
"897",968,"hospital",0,17
"898",816,"hospital",0,17
"899",371,"hospital",0,17
"900",257,"hospital",0,17
"901",410,"construction",0,7
"902",414,"construction",0,7
"903",395,"construction",0,7
"904",996,"construction",0,7
"905",877,"construction",0,7
"906",278,"construction",0,7
"907",360,"construction",0,7
"908",405,"hospital",1,21
"909",41,"hospital",1,21
"910",66,"hospital",1,21
"911",160,"hospital",1,21
"912",855,"hospital",1,21
"913",816,"hospital",1,21
"914",753,"hospital",1,21
"915",1,"hospital",1,21
"916",634,"hospital",1,21
"917",695,"law",1,4
"918",826,"law",1,4
"919",508,"law",1,4
"920",613,"law",1,4
"921",254,"law",1,4
"922",152,"law",1,4
"923",813,"construction",1,13
"924",815,"construction",1,13
"925",769,"construction",1,13
"926",153,"construction",1,13
"927",23,"construction",1,13
"928",279,"construction",1,13
"929",196,"construction",1,13
"930",836,"hospital",1,6
"931",323,"hospital",1,6
"932",744,"hospital",1,6
"933",141,"hospital",1,6
"934",803,"hospital",1,6
"935",913,"hospital",1,6
"936",569,"hospital",1,6
"937",108,"hospital",1,6
"938",312,"university",0,24
"939",20,"university",0,24
"940",411,"university",0,24
"941",163,"university",0,24
"942",529,"university",0,24
"943",414,"university",0,24
"944",328,"university",0,24
"945",290,"university",0,24
"946",832,"university",0,24
"947",428,"university",0,24
"948",144,"technology",0,7
"949",351,"technology",0,7
"950",218,"technology",0,7
"951",191,"technology",0,7
"952",222,"technology",0,7
"953",182,"technology",0,7
"954",260,"technology",0,7
"955",506,"consultency",1,15
"956",481,"consultency",1,15
"957",75,"consultency",1,15
"958",761,"consultency",1,15
"959",898,"consultency",1,15
"960",599,"consultency",1,15
"961",447,"homemaker",1,20
"962",920,"homemaker",1,20
"963",923,"homemaker",1,20
"964",578,"homemaker",1,20
"965",251,"homemaker",1,20
"966",512,"homemaker",1,20
"967",135,"homemaker",1,20
"968",462,"homemaker",1,20
"969",907,"law",1,7
"970",938,"law",1,7
"971",750,"law",1,7
"972",705,"law",1,7
"973",155,"law",1,7
"974",12,"law",1,7
"975",268,"law",1,7
"976",725,"hospital",0,24
"977",858,"hospital",0,24
"978",301,"hospital",0,24
"979",202,"hospital",0,24
"980",417,"hospital",0,24
"981",856,"hospital",0,24
"982",243,"labor",0,18
"983",111,"labor",0,18
"984",411,"labor",0,18
"985",614,"labor",1,9
"986",591,"labor",1,9
"987",502,"labor",1,9
"988",917,"labor",1,9
"989",471,"labor",1,9
"990",620,"labor",1,9
"991",660,"consultency",1,20
"992",895,"consultency",1,20
"993",8,"consultency",1,20
"994",362,"service",0,2
"995",909,"service",0,2
"996",895,"service",0,2
"997",47,"service",0,2
"998",450,"service",0,2
"999",194,"construction",1,2
"1000",352,"construction",1,2
"1001",654,"construction",1,2
"1002",127,"construction",1,2
"1003",40,"construction",1,2
"1004",405,"construction",1,2
"1005",678,"construction",1,2
"1006",288,"construction",1,2
"1007",659,"technology",0,22
"1008",447,"technology",0,22
"1009",628,"technology",0,22
"1010",448,"technology",0,22
"1011",266,"technology",0,22
"1012",637,"technology",0,22
"1013",221,"technology",0,22
"1014",738,"technology",0,22
"1015",665,"technology",0,22
"1016",16,"technology",0,22
"1017",154,"labor",1,9
"1018",168,"labor",1,9
"1019",832,"labor",1,9
"1020",25,"labor",1,9
"1021",719,"labor",1,9
"1022",69,"technology",0,8
"1023",514,"technology",0,8
"1024",548,"technology",0,8
"1025",346,"technology",0,8
"1026",694,"technology",0,8
"1027",655,"technology",0,8
"1028",153,"service",0,21
"1029",648,"service",0,21
"1030",228,"service",0,21
"1031",467,"service",0,21
"1032",842,"service",0,21
"1033",848,"service",0,21
"1034",285,"service",0,21
"1035",77,"service",0,21
"1036",214,"service",0,21
"1037",19,"technology",1,7
"1038",935,"technology",1,7
"1039",545,"technology",1,7
"1040",788,"technology",1,7
"1041",820,"technology",1,7
"1042",316,"technology",1,7
"1043",278,"consultency",1,7
"1044",94,"consultency",1,7
"1045",774,"consultency",1,7
"1046",800,"consultency",1,7
"1047",936,"consultency",1,7
"1048",601,"consultency",1,7
"1049",831,"consultency",1,7
"1050",15,"consultency",1,7
"1051",810,"homemaker",0,6
"1052",472,"homemaker",0,6
"1053",510,"homemaker",0,6
